Time,Open,High,Low,Last,Change,Volume
2/8/2019,0.009103999,0.009117,0.009101,0.00911,4.00E-06,4920
2/7/2019,0.00909,0.009121,0.009086,0.009106,1.50E-05,4753
2/6/2019,0.009091,0.009125,0.00909,0.009091,-9.99E-07,4987
2/5/2019,0.009098999,0.009106,0.009087999,0.009091999,-5.00E-06,4672
2/4/2019,0.009129,0.009136,0.009078,0.009097,-3.30E-05,4600
2/1/2019,0.009192999,0.009192999,0.009126999,0.00913,-5.40E-05,4468
1/31/2019,0.00917,0.009214,0.009169,0.009183999,1.30E-05,5070
1/30/2019,0.009147,0.009187999,0.009113,0.009171,2.80E-05,4531
1/29/2019,0.009141999,0.00916,0.009130999,0.009143,-3.00E-06,5026
1/28/2019,0.009132,0.009158,0.009128,0.009145999,1.70E-05,4645
1/25/2019,0.009119,0.009133,0.009095999,0.009129,6.00E-06,5045
1/24/2019,0.009123,0.009134999,0.009108,0.009123,0,4920
1/23/2019,0.009141,0.009144999,0.009093,0.009123,-2.00E-05,4750
1/22/2019,0.009117,0.00916,0.009117,0.009143,2.50E-05,4470
1/21/2019,0.009109,0.009132,0.009109,0.009118,9.00E-06,4676
1/18/2019,0.009151,0.009167,0.009101,0.009109,-4.50E-05,5186
1/17/2019,0.009164,0.009198,0.009143,0.009154,-1.10E-05,5101
1/16/2019,0.009201,0.009225,0.009159,0.009165,-3.40E-05,4857
1/15/2019,0.009244,0.009245,0.009195999,0.009199,-4.50E-05,5473
1/14/2019,0.009212,0.009257,0.009211,0.009244,3.20E-05,4840
1/11/2019,0.009219999,0.009244,0.00921,0.009212,-8.00E-06,4918
1/10/2019,0.009245,0.009276,0.009216,0.009219999,-2.70E-05,5969
1/9/2019,0.009194999,0.009257,0.009176,0.009247,5.20E-05,5291
1/8/2019,0.009194999,0.009218,0.009169,0.009194999,-3.00E-06,5452
1/7/2019,0.009199,0.009253,0.009194999,0.009198,-1.60E-05,5418
1/4/2019,0.009284999,0.009298,0.00921,0.009214,-7.60E-05,5804
1/3/2019,0.009183,0.009470999,0.009183,0.009289999,0.000107999,6273
1/2/2019,0.009117,0.009194999,0.009114,0.009182,6.10E-05,5183
12/31/2018,0.009058,0.009125,0.009052999,0.009121,5.50E-05,4175
12/28/2018,0.009008999,0.009076,0.009006999,0.009066001,5.70E-05,4613
12/27/2018,0.00902,0.00905,0.009002999,0.009008999,1.80E-05,1081
12/26/2018,0.009044,0.009065,0.008976,0.008991,-6.40E-05,1203
12/24/2018,0.009017,0.009065,0.008994,0.009055,6.50E-05,4225
12/21/2018,0.008983999,0.009009999,0.008973001,0.00899,5.00E-06,4284
